Iterations,Total_loss,Avg_loss,Learning rate,Time
6095,1.86066,2.347648,0.001,4.381348
6096,2.916312,2.404515,0.001,4.948918
6097,2.445064,2.40857,0.001,4.806686
6098,2.10928,2.378641,0.001,4.610627
6099,2.204987,2.361275,0.001,4.713936
6100,2.934999,2.418648,0.001,5.14468
6101,2.345789,2.411362,0.001,4.596976
6102,1.61607,2.331833,0.001,4.407979
6103,2.714184,2.370068,0.001,4.882617
6104,2.177174,2.350779,0.001,4.748716
6105,1.657804,2.281481,0.001,4.323759
6106,1.927559,2.246089,0.001,4.564499
6107,2.507887,2.272269,0.001,4.775475
6108,2.058842,2.250926,0.001,4.654841
6109,2.510025,2.276836,0.001,4.799076
6110,2.558338,2.304986,0.001,4.798934
6111,3.119414,2.386429,0.001,5.188513
6112,2.298058,2.377592,0.001,4.642104
6113,1.852681,2.325101,0.001,4.55445
6114,2.05444,2.298035,0.001,4.507166
6115,1.743441,2.242575,0.001,4.35901
6116,2.17207,2.235525,0.001,4.526277
6117,1.648464,2.176819,0.001,4.319574
6118,2.224361,2.181573,0.001,4.823239
6119,2.048394,2.168255,0.001,4.625716
6120,1.804712,2.131901,0.001,4.384331
6121,2.83665,2.202376,0.001,4.887869
6122,2.459472,2.228086,0.001,4.755026
6123,2.033551,2.208632,0.001,4.48716
6124,2.317846,2.219553,0.001,4.552924
6125,2.189269,2.216525,0.001,4.648675
6126,2.201463,2.215019,0.001,4.652333
6127,2.514035,2.24492,0.001,4.773965
6128,1.995859,2.220014,0.001,4.623097
6129,2.260042,2.224017,0.001,4.766678
6130,2.533366,2.254952,0.001,4.767405
6131,1.969516,2.226408,0.001,4.636252
6132,1.994023,2.20317,0.001,4.642184
6133,2.009369,2.18379,0.001,4.657745
6134,2.066215,2.172032,0.001,4.546517
6135,2.111584,2.165987,0.001,4.753012
6136,1.484399,2.097829,0.001,4.270646
6137,1.959134,2.083959,0.001,4.553416
6138,1.624635,2.038027,0.001,4.505621
6139,2.015646,2.035789,0.001,4.642119
6140,2.569975,2.089207,0.001,4.890196
6141,2.071016,2.087388,0.001,4.774145
6142,2.012977,2.079947,0.001,4.687932
6143,2.386041,2.110556,0.001,4.735787
6144,2.13264,2.112765,0.001,4.580938
6145,2.357061,2.137194,0.001,4.764477
6146,2.018377,2.125312,0.001,4.691714
6147,1.741175,2.086899,0.001,4.630087
6148,2.301905,2.108399,0.001,4.798459
6149,2.464706,2.14403,0.001,4.667062
6150,2.212241,2.150851,0.001,4.647304
6151,2.142432,2.150009,0.001,4.655942
6152,1.50852,2.08586,0.001,4.233715
6153,2.304791,2.107753,0.001,4.759998
6154,1.654515,2.062429,0.001,4.518308
6155,2.602135,2.1164,0.001,4.85457
6156,1.998351,2.104595,0.001,4.66062
6157,1.984009,2.092536,0.001,4.421067
6158,2.315135,2.114796,0.001,4.598326
6159,2.279906,2.131307,0.001,4.784462
6160,2.537734,2.17195,0.001,4.939602
6161,2.750461,2.229801,0.001,4.831215
6162,1.668097,2.17363,0.001,4.3234
6163,2.051089,2.161376,0.001,4.782948
6164,2.069199,2.152159,0.001,4.604906
6165,2.273337,2.164277,0.001,4.65797
6166,2.354478,2.183297,0.001,4.572681
6167,2.345634,2.19953,0.001,4.660503
6168,2.114132,2.19099,0.001,4.616747
6169,1.730099,2.144901,0.001,4.4942
6170,2.155018,2.145913,0.001,4.712492
6171,1.968426,2.128164,0.001,4.515944
6172,2.283247,2.143672,0.001,4.706532
6173,2.809721,2.210277,0.001,4.83622
6174,2.115702,2.20082,0.001,4.712499
6175,3.074679,2.288206,0.001,5.030717
6176,2.003875,2.259773,0.001,4.599157
6177,2.29003,2.262798,0.001,4.695221
6178,2.19456,2.255975,0.001,4.54847
6179,2.361433,2.26652,0.001,4.837376
6180,2.471555,2.287024,0.001,4.894743
6181,1.886175,2.246939,0.001,4.570099
6182,2.74764,2.297009,0.001,4.959274
6183,1.992876,2.266596,0.001,4.599706
6184,2.038404,2.243776,0.001,4.570951
6185,2.430699,2.262469,0.001,4.804839
6186,3.001086,2.33633,0.001,5.050969
6187,2.079855,2.310683,0.001,4.766684
6188,2.024506,2.282065,0.001,4.615356
6189,2.024422,2.256301,0.001,4.526796
6190,1.624894,2.19316,0.001,4.263609
6191,2.384267,2.212271,0.001,4.737995
6192,2.165935,2.207637,0.001,4.64219
6193,2.841124,2.270986,0.001,4.871588
6194,1.652189,2.209106,0.001,4.360262
6195,1.786434,2.166839,0.001,4.559843
6196,2.440161,2.194171,0.001,4.897539
6197,2.582364,2.232991,0.001,4.999681
6198,1.697676,2.179459,0.001,4.54302
6199,1.953794,2.156893,0.001,4.655223
6200,2.483607,2.189564,0.001,4.721991
6201,2.580551,2.228663,0.001,4.850359
6202,2.231587,2.228955,0.001,4.631412
6203,2.868843,2.292944,0.001,4.920768
6204,1.794357,2.243085,0.001,4.572146
6205,1.588303,2.177607,0.001,4.390534
6206,2.414429,2.201289,0.001,4.912171
6207,2.256949,2.206855,0.001,4.590722
6208,2.626337,2.248803,0.001,4.940973
6209,2.103443,2.234267,0.001,4.602537
6210,2.047071,2.215548,0.001,4.570931
6211,1.779523,2.171945,0.001,4.392545
6212,3.350501,2.289801,0.001,5.181511
6213,1.826123,2.243433,0.001,4.435202
6214,2.261193,2.245209,0.001,4.682893
6215,2.132088,2.233897,0.001,4.700251
6216,2.357737,2.246281,0.001,4.773757
6217,1.885175,2.21017,0.001,4.54013
6218,2.431355,2.232289,0.001,4.718707
6219,2.295509,2.238611,0.001,4.816135
6220,1.570365,2.171786,0.001,4.244284
