,Iterations,Avg_mAP,car,bus,motorcycle,Avg_IOU
0,1000,27.49,8.48,71.9,2.1,12.05
1,2000,29.15,15.92,69.5,2.02,15.66
2,3000,26.43,14.2,62.63,2.47,14.68
3,4000,48.04,54.36,82.57,7.19,32.33
4,5000,44.78,45.03,77.89,11.43,24.38
5,6000,38.14,31.12,79.24,4.06,24.09
6,7000,30.67,18.58,70.39,3.03,14.82
7,8000,36.43,27.79,77.7,3.79,20.4
9,9000,48.59,46.31,89.22,10.24,31.38
8,10000,32.85,24.83,66.51,7.21,21.66
